epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.628,0.85877,2.10354,1.02808,1,0.085,0.7414,0.52649,0.74635,2.77185,0.96571,0.000653333,0.000653333,0.000653333
2,261.208,0.85495,1.59751,1.05595,0.72295,0.73953,0.78892,0.54604,0.93909,1.79901,1.09338,0.00118932,0.00118932,0.00118932
3,403.523,0.87359,1.55056,1.06293,0.78108,0.71628,0.79759,0.56096,0.87641,1.62053,1.06894,0.00159331,0.00159331,0.00159331
4,570.525,0.79352,1.33112,1.01337,0.80091,0.82791,0.85622,0.60737,0.85085,1.40512,1.07523,0.001406,0.001406,0.001406
5,740.168,0.80453,1.1286,1.03958,0.89667,0.84757,0.92894,0.70199,0.75401,1.06098,0.97874,0.001208,0.001208,0.001208
6,882.784,0.76406,1.04465,1.00237,0.92588,0.87153,0.92922,0.72248,0.70407,0.89085,0.96755,0.00101,0.00101,0.00101
7,1008.84,0.70536,0.88975,0.97564,0.92063,0.89302,0.95956,0.75811,0.6662,0.86667,0.94663,0.000812,0.000812,0.000812
8,1137.6,0.68779,0.85313,0.94734,0.94658,0.90655,0.95586,0.76202,0.60804,0.75016,0.91655,0.000614,0.000614,0.000614
9,1261.34,0.63341,0.77109,0.9423,0.94514,0.90698,0.97054,0.78203,0.59621,0.70935,0.90642,0.000416,0.000416,0.000416
10,1390.45,0.60386,0.70384,0.9181,0.95263,0.93537,0.97736,0.80367,0.54572,0.64024,0.89119,0.000218,0.000218,0.000218
